,PresionAire (mbar),PresionVapor (mbar),HumedadRelativa (%),ConcentracionVapor (mmol/mol),DensidadAire (g/m**3),DireccionViento (grado),Temperatura (C)
01.01.2010,970.0002083333334,4.34826388888889,94.77777777777777,4.483333333333333,1252.657986111111,64.32027777777778,-3.863402777777778
02.01.2010,985.9154861111112,3.7938888888888886,91.52083333333333,3.849444444444444,1280.425208333333,238.9642361111111,-5.296666666666667
03.01.2010,990.5906249999999,4.049236111111111,92.75763888888889,4.087569444444444,1283.044513888889,132.25694444444446,-4.605902777777778
04.01.2010,988.882013888889,3.4672916666666667,90.65069444444445,3.505416666666667,1289.1354166666667,145.9934722222222,-6.284305555555556
05.01.2010,981.2953472222224,2.3855555555555554,85.18152777777777,2.431111111111111,1299.3865972222222,165.373125,-10.28673611111111
06.01.2010,976.8199305555556,2.622847222222222,85.3125,2.685416666666667,1287.1895833333333,147.70451388888887,-9.056111111111111
07.01.2010,983.5081944444444,2.7606249999999997,85.05368055555556,2.8064583333333335,1292.7265277777778,181.50729166666667,-8.386180555555557
08.01.2010,989.723125,2.7365277777777774,90.78402777777778,2.7650694444444444,1306.1704166666666,54.412708333333335,-9.456041666666668
09.01.2010,984.6204861111112,3.7506944444444446,90.9715277777778,3.8091666666666666,1278.5883333333334,31.430486111111108,-5.278680555555556
10.01.2010,985.6033333333334,3.835069444444445,92.39583333333333,3.8913194444444437,1279.3518749999998,57.721041666666665,-5.180277777777778
11.01.2010,989.3757638888887,3.299513888888889,89.97083333333335,3.3349305555555557,1292.329722222222,60.21847222222222,-6.7993749999999995
12.01.2010,989.8947916666667,3.1824999999999997,88.2173611111111,3.214236111111111,1294.2746527777776,112.26569444444446,-7.037986111111111
13.01.2010,984.1670833333333,2.730763888888889,85.54027777777777,2.7750694444444446,1297.4356944444444,168.47472222222223,-9.116319444444445
14.01.2010,984.7309722222222,4.365347222222223,84.61250000000001,4.432847222222222,1264.3520833333334,163.8670138888889,-2.291805555555556
15.01.2010,995.5623611111112,4.440138888888889,84.72777777777777,4.459375,1277.2366666666667,178.00722222222223,-2.082708333333333
16.01.2010,994.715972222222,4.191805555555556,84.08819444444444,4.213541666666667,1279.4627083333335,181.32986111111111,-2.7597222222222224
17.01.2010,986.4484027777778,5.783194444444444,92.64166666666668,5.8613888888888885,1254.337986111111,190.38541666666666,0.20368055555555545
18.01.2010,996.3561111111111,6.1281944444444445,85.99652777777777,6.150347222222222,1257.8163194444444,215.81479166666668,2.1495833333333336
19.01.2010,994.4220833333334,6.216805555555556,96.26111111111112,6.252152777777777,1261.6842361111112,186.49173611111112,0.7617361111111112
20.01.2010,990.899861111111,5.742500000000001,96.30972222222222,5.795277777777778,1262.6289583333332,77.90034722222222,-0.36104166666666665
21.01.2010,997.0009722222223,3.5165972222222224,91.20208333333332,3.5278472222222224,1299.2872916666665,41.71354166666666,-6.197430555555555
22.01.2010,1000.6915972222222,3.2275,85.69861111111112,3.225208333333333,1305.4040277777776,88.844375,-6.438611111111111
23.01.2010,999.0274305555556,3.3285416666666663,83.85972222222222,3.3317361111111112,1300.037013888889,148.83819444444444,-5.792222222222222
